iter	Passed	Remaining
0	209	209200
1	218	109203
2	222	73842
3	224	55900
4	231	46076
5	233	38680
6	235	33416
7	237	29466
8	241	26634
9	243	24154
10	246	22118
11	247	20415
12	250	18989
13	253	17881
14	256	16851
15	258	15917
16	260	15090
17	262	14345
18	269	13910
19	272	13332
20	274	12792
21	276	12287
22	282	12013
23	284	11577
24	286	11175
25	288	10802
26	290	10456
27	293	10186
28	295	9896
29	297	9616
30	300	9388
31	302	9155
32	305	8947
33	308	8766
34	310	8572
35	313	8386
36	315	8210
37	317	8041
38	321	7930
39	325	7803
40	327	7659
41	337	7689
42	339	7565
43	344	7475
44	346	7361
45	349	7245
46	351	7123
47	353	7009
48	355	6893
49	358	6802
50	364	6790
51	367	6692
52	376	6726
53	379	6647
54	381	6555
55	391	6602
56	393	6512
57	395	6425
58	397	6341
59	400	6277
60	403	6217
61	405	6136
62	407	6056
63	409	5990
64	412	5932
65	414	5866
66	418	5830
67	420	5763
68	422	5702
69	424	5635
70	425	5573
71	428	5523
72	433	5508
73	435	5450
74	437	5390
75	438	5335
76	440	5280
77	442	5234
78	446	5203
79	448	5154
80	450	5108
81	451	5056
82	452	4999
83	454	4952
84	456	4910
85	459	4885
86	461	4843
87	463	4801
88	464	4759
89	467	4731
90	470	4700
91	475	4692
92	478	4663
93	479	4625
94	482	4592
95	487	4592
96	492	4589
97	494	4555
98	496	4519
99	500	4508
100	502	4472
101	504	4439
102	505	4405
103	507	4375
104	509	4342
105	513	4328
106	517	4321
107	520	4295
108	526	4304
109	528	4278
110	530	4249
111	532	4222
112	547	4294
113	550	4277
114	560	4312
115	563	4292
116	573	4330
117	576	4305
118	578	4279
119	580	4253
120	586	4263
121	588	4237
122	590	4213
123	592	4189
124	603	4223
125	608	4222
126	611	4201
127	614	4184
128	616	4162
129	618	4137
130	620	4114
131	623	4100
132	625	4080
133	628	4058
134	630	4038
135	632	4015
136	633	3992
137	635	3970
138	681	4223
139	686	4218
140	689	4197
141	690	4170
142	693	4158
143	696	4138
144	703	4145
145	706	4130
146	708	4109
147	718	4134
148	720	4113
149	722	4094
150	729	4100
151	736	4111
152	739	4091
153	742	4081
154	745	4063
155	747	4044
156	751	4036
157	754	4018
158	756	4001
159	758	3984
160	759	3960
161	762	3942
162	766	3936
163	768	3918
164	773	3916
165	775	3898
166	778	3882
167	788	3907
168	791	3889
169	805	3934
170	807	3914
171	809	3896
172	812	3882
173	814	3868
174	817	3852
175	818	3833
176	820	3814
177	823	3803
178	825	3787
179	827	3770
180	829	3754
181	835	3754
182	837	3740
183	840	3728
184	842	3712
185	844	3696
186	847	3686
187	851	3675
188	853	3661
189	855	3645
190	856	3629
191	858	3612
192	865	3617
193	867	3602
194	868	3587
195	870	3572
196	872	3556
197	874	3541
198	876	3528
199	882	3529
200	885	3518
201	887	3505
202	895	3514
203	897	3501
204	899	3488
205	901	3475
206	916	3509
207	918	3496
208	925	3501
209	927	3490
210	929	3476
211	931	3461
212	932	3447
213	935	3437
214	940	3435
215	943	3423
216	945	3411
217	947	3398
218	950	3390
219	953	3379
220	955	3369
221	957	3355
222	959	3342
223	961	3332
224	968	3335
225	971	3325
226	973	3313
227	975	3303
228	980	3301
229	982	3290
230	984	3277
231	985	3263
232	987	3249
233	988	3236
234	990	3224
235	993	3216
236	995	3205
237	997	3192
238	998	3179
239	1000	3167
240	1001	3155
241	1005	3148
242	1010	3149
243	1012	3137
244	1014	3125
245	1016	3114
246	1018	3105
247	1021	3098
248	1024	3090
249	1028	3084
250	1029	3072
251	1031	3062
252	1033	3051
253	1035	3042
254	1038	3032
255	1039	3022
256	1041	3011
257	1043	3001
258	1045	2990
259	1047	2980
260	1051	2976
261	1053	2967
262	1055	2958
263	1057	2948
264	1062	2947
265	1065	2939
266	1067	2929
267	1069	2919
268	1070	2909
269	1072	2898
270	1073	2888
271	1076	2881
272	1080	2876
273	1082	2867
274	1083	2857
275	1085	2846
276	1087	2837
277	1088	2828
278	1093	2824
279	1094	2815
280	1096	2806
281	1098	2796
282	1099	2785
283	1101	2775
284	1102	2766
285	1105	2760
286	1108	2753
287	1110	2745
288	1112	2736
289	1113	2727
290	1115	2718
291	1117	2709
292	1122	2707
293	1123	2698
294	1125	2689
295	1127	2680
296	1128	2671
297	1130	2662
298	1136	2663
299	1137	2654
300	1139	2645
301	1140	2636
302	1142	2629
303	1146	2624
304	1149	2618
305	1151	2612
306	1153	2603
307	1154	2594
308	1156	2586
309	1158	2577
310	1160	2571
311	1162	2564
312	1164	2555
313	1165	2547
314	1167	2538
315	1169	2530
316	1170	2522
317	1173	2516
318	1175	2508
319	1176	2501
320	1178	2493
321	1180	2485
322	1182	2478
323	1183	2469
324	1186	2464
325	1189	2459
326	1191	2452
327	1193	2445
328	1195	2437
329	1196	2429
330	1198	2422
331	1201	2418
332	1203	2410
333	1205	2403
334	1206	2395
335	1208	2388
336	1210	2381
337	1212	2373
338	1215	2370
339	1217	2362
340	1219	2356
341	1221	2349
342	1222	2341
343	1224	2335
344	1226	2329
345	1229	2324
346	1231	2318
347	1233	2311
348	1235	2303
349	1236	2296
350	1238	2289
351	1243	2289
352	1245	2282
353	1247	2275
354	1249	2269
355	1250	2262
356	1252	2255
357	1256	2253
358	1258	2247
359	1260	2241
360	1262	2235
361	1264	2229
362	1267	2224
363	1270	2219
364	1273	2214
365	1275	2208
366	1278	2204
367	1280	2198
368	1283	2194
369	1287	2192
370	1290	2187
371	1292	2181
372	1294	2176
373	1297	2171
374	1301	2168
375	1303	2162
376	1304	2156
377	1307	2152
378	1309	2146
379	1312	2141
380	1315	2137
381	1319	2134
382	1321	2128
383	1323	2122
384	1325	2117
385	1327	2111
386	1333	2111
387	1334	2105
388	1336	2099
389	1338	2093
390	1342	2090
391	1345	2086
392	1346	2080
393	1348	2074
394	1350	2068
395	1352	2062
396	1356	2060
397	1363	2062
398	1365	2057
399	1369	2053
400	1370	2047
401	1377	2049
402	1379	2043
403	1381	2038
404	1391	2044
405	1394	2039
406	1395	2033
407	1398	2029
408	1403	2027
409	1405	2022
410	1414	2026
411	1416	2021
412	1418	2015
413	1423	2014
414	1426	2010
415	1432	2010
416	1434	2005
417	1436	2000
418	1438	1994
419	1439	1988
420	1441	1982
421	1448	1983
422	1449	1977
423	1451	1971
424	1452	1965
425	1454	1959
426	1456	1954
427	1459	1949
428	1461	1945
429	1463	1940
430	1465	1935
431	1468	1930
432	1470	1925
433	1475	1924
434	1477	1918
435	1479	1913
436	1480	1907
437	1483	1902
438	1484	1897
439	1489	1896
440	1491	1890
441	1493	1885
442	1497	1883
443	1499	1878
444	1503	1874
445	1505	1869
446	1507	1865
447	1509	1860
448	1511	1855
449	1519	1857
450	1521	1852
451	1524	1847
452	1526	1842
453	1527	1837
454	1533	1837
455	1536	1832
456	1538	1827
457	1539	1822
458	1541	1817
459	1543	1812
460	1549	1811
461	1551	1806
462	1553	1801
463	1555	1796
464	1557	1791
465	1561	1789
466	1564	1785
467	1567	1781
468	1569	1776
469	1571	1771
470	1573	1767
471	1575	1762
472	1578	1758
473	1579	1753
474	1581	1748
475	1583	1743
476	1588	1741
477	1590	1737
478	1592	1731
479	1594	1726
480	1595	1721
481	1597	1717
482	1602	1715
483	1606	1712
484	1609	1708
485	1611	1704
486	1613	1699
487	1618	1698
488	1620	1693
489	1622	1688
490	1623	1683
491	1626	1678
492	1627	1674
493	1632	1672
494	1634	1667
495	1635	1662
496	1637	1657
497	1639	1652
498	1640	1647
499	1642	1642
500	1645	1638
501	1646	1633
502	1648	1628
503	1649	1623
504	1651	1618
505	1653	1614
506	1654	1609
507	1656	1604
508	1658	1599
509	1660	1595
510	1662	1591
511	1664	1586
512	1665	1581
513	1672	1581
514	1674	1576
515	1675	1571
516	1677	1567
517	1679	1562
518	1680	1557
519	1684	1555
520	1686	1550
521	1688	1546
522	1691	1542
523	1693	1538
524	1699	1537
525	1701	1533
526	1703	1528
527	1704	1523
528	1706	1519
529	1708	1514
530	1714	1514
531	1716	1509
532	1718	1505
533	1720	1501
534	1721	1496
535	1723	1492
536	1728	1489
537	1729	1485
538	1731	1480
539	1732	1476
540	1734	1471
541	1736	1467
542	1738	1462
543	1741	1460
544	1743	1455
545	1745	1451
546	1747	1446
547	1749	1442
548	1751	1438
549	1755	1436
550	1757	1432
551	1759	1427
552	1760	1423
553	1762	1418
554	1764	1414
555	1766	1410
556	1769	1407
557	1771	1403
558	1773	1399
559	1775	1394
560	1784	1396
561	1786	1392
562	1788	1388
563	1790	1384
564	1792	1380
565	1798	1379
566	1801	1375
567	1803	1371
568	1805	1367
569	1807	1363
570	1814	1362
571	1815	1358
572	1818	1354
573	1820	1350
574	1822	1347
575	1826	1344
576	1828	1340
577	1830	1336
578	1832	1332
579	1835	1328
580	1837	1324
581	1842	1323
582	1844	1319
583	1846	1315
584	1847	1310
585	1849	1306
586	1851	1302
587	1854	1299
588	1857	1296
589	1859	1292
590	1861	1288
591	1863	1284
592	1869	1283
593	1871	1279
594	1873	1275
595	1875	1270
596	1876	1266
597	1878	1262
598	1880	1258
599	1886	1257
600	1888	1253
601	1889	1249
602	1892	1245
603	1894	1241
604	1899	1239
605	1900	1235
606	1902	1231
607	1904	1227
608	1906	1223
609	1907	1219
610	1909	1215
611	1912	1212
612	1913	1208
613	1915	1204
614	1917	1200
615	1918	1196
616	1920	1192
617	1922	1188
618	1924	1184
619	1926	1180
620	1928	1176
621	1929	1172
622	1931	1168
623	1934	1165
624	1936	1162
625	1938	1158
626	1940	1154
627	1942	1150
628	1944	1146
629	1949	1145
630	1960	1146
631	1967	1145
632	1970	1142
633	1972	1138
634	1979	1137
635	1981	1134
636	1984	1130
637	1987	1127
638	1988	1123
639	1990	1119
640	1995	1117
641	1997	1113
642	2000	1110
643	2002	1106
644	2007	1104
645	2009	1101
646	2012	1097
647	2013	1093
648	2015	1090
649	2017	1086
650	2023	1084
651	2025	1081
652	2029	1078
653	2031	1074
654	2040	1074
655	2042	1071
656	2044	1067
657	2045	1063
658	2047	1059
659	2052	1057
660	2053	1053
661	2055	1049
662	2057	1045
663	2061	1043
664	2065	1040
665	2067	1036
666	2069	1033
667	2071	1029
668	2073	1025
669	2077	1023
